sample	scalingFactor
20-20_H3K27Ac_rep2_210115Fra_D20-3776-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.1703
72-20_H3K27Ac_rep3_210115Fra_D20-4895-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.3478
22-20_H3K27Ac_rep2_210115Fra_D20-3773-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.4748
72-20_H3K27Ac_rep1_210115Fra_D20-5526-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.8607
20-20_H3K27Ac_rep2-1_210115Fra_D20-5076-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.6288
56-22_H3K27Ac_rep1_210115Fra_D20-5522-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.6996
22-20_H3K27Ac_rep1_210115Fra_D20-5402-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.7117
22-20_H3K27Ac_rep3_210115Fra_D20-4763-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.1411
20-20_H3K27Ac_rep1_210115Fra_D20-5406-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.5919
20-20_H3K27Ac_rep3_210115Fra_D20-3538-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.9586
56-22_H3K27Ac_rep3_210115Fra_D20-4894-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.1267
72-20_H3K27Ac_rep2_210115Fra_D20-5200-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.7642
20-20_H3K27Ac_rep3-1_210115Fra_D20-4767-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	2.0916
56-22_H3K27Ac_rep2_210115Fra_D20-5078-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.0012
