sample	scalingFactor
20-20_H3K4me3_rep3_210115Fra_D20-4765-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.5968
22-20_H3K4me3_rep3_210115Fra_D20-4762-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.2332
72-20_H3K4me3_rep1_210115Fra_D20-5527-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.8327
72-20_H3K4me3_rep3_210115Fra_D20-3541-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.9508
20-20_H3K4me3_rep1_210115Fra_D20-5407-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.5904
22-20_H3K4me3_rep1_210115Fra_D20-5404-3_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.0365
56-22_H3K4me3_rep3_210115Fra_D20-3540-2_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.9454
56-22_H3K4me3_rep1_210115Fra_D20-5524-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.8320
72-20_H3K4me3_rep2_210115Fra_D20-5201-4_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.7730
56-22_H3K4me3_rep2_210115Fra_D20-3778-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.2899
20-20_H3K4me3_rep2_210115Fra_D20-3775-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	0.9319
22-20_H3K4me3_rep2_210115Fra_D20-3772-1_NA_sequence.fastq.merged.nodup.no_chrM_MT	1.1748
